phrase,syllablecount
Home grown,2
Execution,4
Violence,3
Indigo,3
W3,2
Drug Administration,6
Gatt,1
chaining,2
Rapid Reaction,5
Air borne,2
Cain and abel,4
Smuggling,2
gorilla,3
Biological event,7
TEMPSET,2
Meth Lab,2
737,6
Middleman,3
Harvard,2
Bacteria,4
Consul,2
Fort Hancock,3
sardine,2
Pirates,2
FBI,3
fissionable,4
interception,4
Chemical fire,5
Heroin,3
Juarez,2
Electric,3
Disaster,3
Flood,1
Becker,2
Cocaine,2
2600,5
Mavricks,2
Chemical,3
siliconpimp,4
Phreaking,2
Border,2
Decapitated,5
KLM,3
industrial,4
Trump,1
TWA,3
SURVIAC,3
zip,1
Plot,1
Gas,1
CDC,3
nuclear,3
Panama,3
Bubba,2
Blacklisted 411,6
Pornstars,2
USP,3
snuffle,2
VNET,4
Yuma,2
Closure,2
infrastructure,4
Delays,2
CTU,3
Recruitment,3
Bridge,1
garbage,2
Critical infrastructure,7
finks,1
Afghanistan,4
domestic disruption,6
Pork,1
York,1
Burn,1
Hezbollah,3
Temblor,2
plutonium,4
Investigation,5
Kidnap,2
707,5
BOSS,1
Chan,1
r00t,1
Tornado,3
Tie-fighter,3
Badger,2
Suicide attack,5
MI5,3
Juile,2
data-haven,4
Riot,2
Kiwi,2
Artistic Assassins,6
Emergency,4
Al Qaeda,3
Encryption,3
Sex,1
Spillover,3
Eco terrorism,6
Radiation,4
Port,1
spook keywords,3
ARPA,1
Cyber security,6
Somalia,4
Magnitude,3
Standford,2
Toxic,2
FAA,3
Juiliett Class Submarine,7
Port Authority,5
JAVA,1
Rand Corporation,5
Emergency response,6
Military Intelligence,7
Templeton,3
Chemical burn,4
Keyhole,2
Nerve agent,3
passwd,2
North Korea,4
CIA,3
Uzi,2
Weapons cache,3
SEAL,1
Lynch,1
orthodox,3
Secure,2
Service disruption,5
First responder,4
Islamist,3
Federal Bureau,5
Compsec 97,6
PLO,3
FBI,3
Black out,2
Pakistan,3
Passwords,2
Keylogger,3
Forest fire,3
DOE,3
Warning,2
Cap-Stun,2
Event Security,6
Talent,2
Dock,1
Watch,1
Iris,2
Twister,2
Coderpunks,3
penrep,2
Center for Disease Control,7
primacord,3
supercomputer,5
Denial of service,6
redheads,2
Small Pox,2
eavesdropping,3
Peering,2
Mayfly,2
Reflection,3
UHF,3
data havens,4
Beyond Hope,3
SAS,3
Drill,1
Disaster assistance,6
Cowboy,2
Gang,1
Skytel,2
espionage,4
RSA,3
Blizzard,2
b9,2
MI6,3
defensive,3
Rootkit,2
New Federation,5
Telex,2
Alouette,3
virtual,3
Planet-1,3
sigvoice,2
Anonymous,4
squib,1
Narcos,2
Hillal,2
Hurricane,3
macintosh,3
Bubba the Love Sponge,5
national,3
Fusion Center,4
argus,2
Vaccine,2
Locks,1
Weapons grade,3
MD5,3
State of emergency,6
BITNET,2
Exposure,3
spook words,2
Reno,2
Unix Security,6
jack,1
Patel,2
Flu,1
Dictionary,4
Meta-hackers,4
Lockdown,2
Masuda,3
767,6
Collapse,2
Ebola,3
Crest,1
Firewalls,2
connections,3
Toxic Agro,4
Screening,2
STARLAN,2
Yakima,3
Biological weapon,6
Secret Service,4
Flashbangs,2
National preparedness,7
ReMOB,2
Conventional weapon,6
